Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
mc103,1.42,-78.078,162.888,138.2,73.6,1.5,1,0,0,0
mc105,0.86,-78.145,162.941,193.2,69.5,1.9,1,0,0,0
mc109,1.26,-78.141,163.121,174.6,75.4,2.6,1,0,0,0
mc110,7.94,-77.413,160.943,253.5,79.6,4.2,1,0,0,0
mc112,7.63,-77.445,161.034,232.9,75.7,4.2,1,0,0,0
mc113,6.73,-77.524,160.64,264.4,75.4,2.5,1,0,0,0
mc115,2.46,-77.979,162.162,77.7,68.1,3,1,0,0,0
mc117,2.28,-77.99,162.234,164.5,70,1,1,0,0,0
mc121,2.51,-77.966,162.143,117.4,78.4,2.1,1,0,0,0
mc130,7.25,-77.464,164.106,150.5,46.1,2.8,1,0,0,0
mc139,0.882,-78.158,162.783,168.6,79,1.9,1,0,0,0
mc141,1.31,-77.436,165.786,133,83.5,2.3,1,0,0,0
mc142,1.23,-77.715,166.24,311.9,84.7,1.8,1,0,0,0
mc144,1.25,-77.712,166.241,194.4,79.9,3.5,1,0,0,0
mc146,1.37,-78.068,162.512,236.3,62,4.9,1,0,0,0
mc147,1.63,-78.017,162.429,220.2,67.4,2.2,1,0,0,0
mc15,1.33,-77.325,168.734,166.3,84.2,1.6,1,0,0,0
mc150,3.57,-77.336,161.517,253.5,84.3,5.6,1,0,0,0
mc154,2.19,-77.483,161.93,297.9,87.1,3,1,0,0,0
mc155,1.5,-77.533,161.775,226.2,77.7,3.3,1,0,0,0
mc156,1.89,-77.499,161.989,161.3,71.1,3.4,1,0,0,0
mc157,4,-77.281,161.026,262.7,70.7,6,1,0,0,0
mc160,3.47,-77.319,161.273,227.9,76.2,2.9,1,0,0,0
mc161,4,-77.28,161.442,171.3,55.1,3.4,1,0,0,0
mc162,2.56,-77.427,161.879,174.6,58.1,3.2,1,0,0,0
mc163,1.5,-77.534,162.197,175.6,51.5,3.5,1,0,0,0
mc164,1.36,-77.367,168.821,199.9,86.1,1,1,0,0,0
mc165,1.45,-77.357,168.79,141.9,81.8,3.8,1,0,0,0
mc166,1.33,-77.703,166.195,224.9,73.8,2,1,0,0,0
mc167,1.5,-77.326,168.735,179.7,74.5,5.2,1,0,0,0
mc168,1.38,-77.339,168.777,187.3,68.2,2.7,1,0,0,0
mc203,4,-77.164,164.891,137,77.1,1.5,1,0,0,0
mc21,4,-77.794,165.099,329.7,79.3,2.8,1,0,0,0
mc213,2.5,-76.959,165.572,180.6,70.7,3.5,1,0,0,0
mc214,2.5,-76.959,165.573,177.5,77.4,0.9,1,0,0,0
mc219,1.33,-77.702,166.2,226.9,75.2,1.6,1,0,0,0
mc227,4.5,-76.804,165.204,220.3,60.3,1.2,1,0,0,0
mc228,2.5,-77.002,165.521,217.5,63.9,2.7,1,0,0,0
mc229,1.07,-77.363,166.769,100,73,2.7,1,0,0,0
mc30,4,-77.921,163.527,242.7,68.3,4.2,1,0,0,0
mc37,4.47,-77.932,162.795,210.6,82.2,2.9,1,0,0,0
mc49,1.14,-78.111,162.978,157,75,4.8,1,0,0,0
mc50,1.9,-78.044,162.596,191.3,71.4,2.3,1,0,0,0
LM-2,5.7,27.425,342.262,184.7,-38.3,6.1,1,0,0,0
